SECURITY_CODE,SECUCODE,SECURITY_NAME_ABBR,ORG_CODE,TRADE_MARKET,BOARD_CODE,BOARD_NAME,ORIG_BOARD_CODE,TOTAL_MARKET_CAP,NOTLIMITED_MARKETCAP_A,CLOSE_PRICE,CHANGE_RATE,TOTAL_SHARES,FREE_SHARES_A,PE_TTM,PE_LAR,PB_MRQ,PCF_OCF_LAR,PCF_OCF_TTM,PS_TTM,PEG_CAR,TRADE_DATE
002003,002003.SZ,伟星股份,10007233,069001002001,016112,纺织制造,1224,6705565325.5,5444176095.5,11.5,0.436681222707,583092637,473406617,19.78382454,18.3936352,2.79532132,12.92903547,16.61675723,2.73209297,-1.45162535,2018-01-02
002003,002003.SZ,伟星股份,10007233,069001002001,016112,纺织制造,1224,7259503330.65,5893912381.65,12.45,8.260869565217,583092637,473406617,21.41814049,19.91310941,3.02623916,13.99708622,17.98944587,2.95778761,-1.57154222,2018-01-03
002003,002003.SZ,伟星股份,10007233,069001002001,016112,纺织制造,1224,7183701287.84,5832369521.44,12.32,-1.044176706827,583092637,473406617,21.19449725,19.70518136,2.99463988,13.85093191,17.80160426,2.92690308,-1.55513254,2018-01-04
002003,002003.SZ,伟星股份,10007233,069001002001,016112,纺织制造,1224,7387783710.79,5998061837.39,12.67,2.840909090909,583092637,473406617,21.79661365,20.26498765,3.07971488,14.24442429,18.30733166,3.01005373,-1.59931245,2018-01-05
002003,002003.SZ,伟星股份,10007233,069001002001,016112,纺织制造,1224,7434431121.75,6035934366.75,12.75,0.631412786109,583092637,473406617,21.93424026,20.39294337,3.09916059,14.33436541,18.42292649,3.0290596,-1.60941071,2018-01-08
002003,002003.SZ,伟星股份,10007233,069001002001,016112,纺织制造,1224,7247841477.91,5884444249.31,12.43,-2.509803921569,583092637,473406617,21.38373383,19.88112048,3.02137774,13.97460094,17.96054716,2.95303614,-1.56901766,2018-01-09
002003,002003.SZ,伟星股份,10007233,069001002001,016112,纺织制造,1224,7201194066.95,5846571719.95,12.35,-0.643604183427,583092637,473406617,21.24610723,19.75316476,3.00193202,13.88465983,17.84495232,2.93403028,-1.55891939,2018-01-10
002003,002003.SZ,伟星股份,10007233,069001002001,016112,纺织制造,1224,7218686846.06,5860773918.46,12.38,0.242914979757,583092637,473406617,21.29771721,19.80114815,3.00922417,13.91838774,17.88830039,2.94115748,-1.56270624,2018-01-11
002003,002003.SZ,伟星股份,10007233,069001002001,016112,纺织制造,1224,7212855919.69,5856039852.29,12.37,-0.080775444265,583092637,473406617,21.28051388,19.78515369,3.00679345,13.9071451,17.87385103,2.93878174,-1.56144396,2018-01-12
002003,002003.SZ,伟星股份,10007233,069001002001,016112,纺织制造,1224,6973787938.52,5661943139.32,11.96,-3.314470493129,583092637,473406617,20.57517753,19.12938061,2.90713417,13.44619688,17.28142751,2.84137669,-1.50969036,2018-01-15
