trade_date,adj_close,close
2020-09-08,29.873319625854492,33.099998474121094
2020-09-09,29.96357154846191,33.20000076293945
2020-09-10,32.40037155151367,35.900001525878906
2020-09-11,31.588096618652344,35.0
2020-09-14,32.625999450683594,36.150001525878906
2020-09-15,31.858858108520508,35.29999923706055
2020-09-16,31.001466751098633,34.349998474121094
2020-09-17,31.452726364135746,34.849998474121094
2020-09-18,32.264991760253906,35.75
2020-09-21,32.49061584472656,36.0
2020-09-22,33.12238311767578,36.70000076293945
2020-09-23,35.46892547607422,39.29999923706055
2020-09-24,34.295654296875,38.0
2020-09-25,31.723480224609375,35.150001525878906
2020-09-28,32.174739837646484,35.650001525878906
2020-09-29,31.588096618652344,35.0
2020-09-30,31.588096618652344,35.0
2020-10-05,32.129608154296875,35.599998474121094
2020-10-06,33.88951873779297,37.54999923706055
2020-10-07,33.21263122558594,36.79999923706055
2020-10-08,33.302886962890625,36.900001525878906
2020-10-09,33.032127380371094,36.599998474121094
2020-10-12,34.02490234375,37.70000076293945
2020-10-14,34.25053024291992,37.95000076293945
2020-10-15,32.85163116455078,36.400001525878906
2020-10-16,33.39313507080078,37.0
2020-10-19,32.76137161254883,36.29999923706055
2020-10-20,32.49061584472656,36.0
2020-10-21,33.302886962890625,36.900001525878906
2020-10-22,33.032127380371094,36.599998474121094
2020-10-23,32.40037155151367,35.900001525878906
2020-10-27,32.21986389160156,35.70000076293945
2020-10-28,32.03936004638672,35.5
2020-10-29,32.03936004638672,35.5
2020-10-30,32.03936004638672,35.5
2020-11-02,32.94187545776367,36.5
2020-11-03,32.535743713378906,36.04999923706055
2020-11-04,34.20539855957031,37.900001525878906
2020-11-05,34.20539855957031,37.900001525878906
2020-11-06,34.07002639770508,37.75
2020-11-09,35.153045654296875,38.95000076293945
2020-11-10,35.5140495300293,39.349998474121094
2020-11-11,33.39313507080078,37.0
2020-11-12,33.61876678466797,37.25
2020-11-13,33.61876678466797,37.25
2020-11-16,37.183712005615234,41.20000076293945
2020-11-17,39.89126205444336,44.20000076293945
2020-11-18,39.665626525878906,43.95000076293945
2020-11-19,39.710750579833984,44.0
2020-11-20,40.79377746582031,45.20000076293945
2020-11-23,40.748653411865234,45.150001525878906
2020-11-24,40.25226974487305,44.599998474121094
2020-11-25,38.44723129272461,42.599998474121094
2020-11-26,38.94361877441406,43.150001525878906
2020-11-27,38.672855377197266,42.849998474121094
2020-11-30,38.35697937011719,42.5
2020-12-01,39.44000625610352,43.70000076293945
2020-12-02,38.13135528564453,42.25
2020-12-03,37.40933609008789,41.45000076293945
2020-12-04,38.35697937011719,42.5
2020-12-07,38.44723129272461,42.599998474121094
2020-12-08,39.07899475097656,43.29999923706055
2020-12-09,38.31185531616211,42.45000076293945
2020-12-10,37.860595703125,41.95000076293945
2020-12-11,37.905723571777344,42.0
2020-12-14,38.5374870300293,42.70000076293945
2020-12-15,39.16924285888672,43.400001525878906
2020-12-16,41.06452941894531,45.5
2020-12-17,42.05730056762695,46.599998474121094
2020-12-18,43.14031982421875,47.79999923706055
2020-12-21,43.41107177734375,48.099998474121094
2020-12-22,42.05730056762695,46.599998474121094
2020-12-23,44.22334289550781,49.0
2020-12-24,45.12586212158203,50.0
2020-12-28,48.37491989135742,53.599998474121094
2020-12-29,47.156524658203125,52.25
2020-12-30,49.50307083129883,54.849998474121094
2020-12-31,49.59332275390625,54.95000076293945
2021-01-04,54.69253921508789,60.599998474121094
2021-01-05,58.25748825073242,64.55000305175781
2021-01-06,58.66361999511719,65.0
2021-01-07,58.844112396240234,65.19999694824219
2021-01-08,60.10764694213867,66.5999984741211
2021-01-11,55.9560661315918,62.0
2021-01-12,56.768333435058594,62.900001525878906
2021-01-13,55.05354690551758,61.0
2021-01-14,53.79002380371094,59.599998474121094
2021-01-15,52.66188049316406,58.349998474121094
2021-01-18,55.910945892333984,61.95000076293945
2021-01-19,56.31707382202149,62.400001525878906
2021-01-20,55.9560661315918,62.0
2021-01-21,54.96330261230469,60.900001525878906
2021-01-22,53.15826797485352,58.900001525878906
2021-01-25,57.309844970703125,63.5
2021-01-26,56.768333435058594,62.900001525878906
2021-01-27,54.91817092895508,60.849998474121094
2021-01-28,52.84238052368164,58.54999923706055
2021-01-29,52.84238052368164,58.54999923706055
2021-02-01,53.97053146362305,59.79999923706055
2021-02-02,55.27918243408203,61.25
2021-02-03,56.31707382202149,62.400001525878906
2021-02-04,55.86581802368164,61.900001525878906
2021-02-05,54.60228729248047,60.5
2021-02-08,53.02288818359375,58.75
2021-02-09,55.0084228515625,60.95000076293945
2021-02-10,55.549930572509766,61.54999923706055
2021-02-11,56.13656997680664,62.20000076293945
2021-02-16,58.573368072509766,64.9000015258789
2021-02-17,59.52100372314453,65.94999694824219
2021-02-18,57.44521713256836,63.650001525878906
2021-02-19,57.76110076904297,64.0
2021-02-22,55.143795013427734,61.099998474121094
2021-02-23,53.97053146362305,59.79999923706055
2021-02-24,50.4958381652832,55.95000076293945
2021-02-25,51.172725677490234,56.70000076293945
2021-02-26,46.479637145996094,51.5
2021-03-01,47.20165252685547,52.29999923706055
2021-03-02,44.67460250854492,49.5
2021-03-03,44.08796691894531,48.849998474121094
2021-03-04,42.012176513671875,46.54999923706055
2021-03-05,41.0194091796875,45.45000076293945
2021-03-08,38.04109954833984,42.150001525878906
2021-03-09,37.0483283996582,41.04999923706055
2021-03-10,37.63496398925781,41.70000076293945
