日期,TTM归母净利润_亿元,披露口径
2020-09-08,49.485680,上市初始：2019全年
2020-09-24,49.363210,2020中报发布
2021-03-25,52.774260,2020全年业绩公告
2021-08-25,64.258460,2021中期业绩公告
2022-03-28,71.617940,2021全年业绩公告
2022-08-24,77.572010,2022中期业绩公告
2023-03-28,84.952500,2022全年业绩公告
2023-08-29,96.623460,2023中期业绩公告
2024-03-26,120.794980,2023全年业绩公告
2024-08-27,125.436560,2024中期业绩公告
2025-03-25,121.233040,2024全年业绩公告
2025-08-26,135.058070,2025中期业绩公告
2026-03-24,158.682740,2025全年业绩公告
