情景,未来3年利润增速,2028归母净利润_亿元,目标PE,2028市值_亿人民币,相对当前总回报,隐含年化回报
保守,0.080000,199.894552,20.000000,3997.891035,-0.008304,-0.002776
中性,0.130000,228.962849,24.000000,5495.108388,0.363088,0.108770
