年份,营收,毛利,归母净利润,总资产,总负债,权益,现金及银行结余,长期银行存款,FVTPL金融资产,流动计息借款,经营现金流,资本开支,存货,应收账款及票据,合同负债,已付股息,毛利率,净利率,总资产周转率,权益乘数,简单ROE,资产负债率,自由现金流,经营现金流净利比,自由现金流净利比,现金头寸,应收账款,存货营收比,营收同比,净利润同比,存货同比,合同负债同比,来源
2020,228.772970,135.083270,52.774260,258.594120,103.671300,154.922820,91.188800,0.000000,0.000000,24.139570,84.291730,22.360390,18.054540,3.575640,22.473230,79.797600,59.046866,23.068398,0.884680,1.669180,34.064872,40.090355,61.931340,1.597213,1.173514,91.188800,3.575640,7.891903,,,,,港交所官方年报合并报表；金额由人民币千元换算为亿元
2021,296.964060,176.562180,71.617940,328.960960,121.544620,207.416340,147.835770,11.214610,2.047540,25.001080,114.002700,24.624180,18.092300,4.762760,23.509520,19.118990,59.455740,24.116703,0.902733,1.585993,34.528591,36.948038,89.378520,1.591818,1.247991,161.097920,4.762760,6.092421,29.807319,35.706195,0.209144,4.611220,港交所官方年报合并报表；金额由人民币千元换算为亿元
2022,332.391870,190.954110,84.952500,392.548410,151.707650,240.840760,152.111560,41.016700,0.000000,24.250930,120.415100,41.933470,21.083720,4.785870,26.771900,50.591180,57.448490,25.557936,0.846754,1.629909,35.273307,38.646864,78.481630,1.417440,0.923830,193.128260,4.785870,6.343031,11.929999,18.619022,16.534216,13.876846,港交所官方年报合并报表；金额由人民币千元换算为亿元
2023,426.672210,254.068290,120.794980,491.371300,205.662250,285.709050,241.252100,15.107220,0.000000,31.206190,173.049370,47.141130,30.917290,5.470210,35.849210,76.463130,59.546482,28.310956,0.868330,1.719831,42.279018,41.854754,125.908240,1.432587,1.042330,256.359320,5.470210,7.246146,28.364214,42.191201,46.640583,33.906111,港交所官方年报合并报表；金额由人民币千元换算为亿元
2024,428.959920,249.157150,121.233040,531.603120,208.731480,322.871640,107.220480,106.308820,15.294380,36.254330,110.221440,64.059920,50.130470,5.813720,35.655580,84.348500,58.084016,28.262090,0.806918,1.646484,37.548371,39.264533,46.161520,0.909170,0.380767,228.823680,5.813720,11.686516,0.536175,0.362648,62.143804,-0.540123,港交所官方年报合并报表；金额由人民币千元换算为亿元
2025,525.529100,318.081040,158.682740,651.691280,256.991480,394.699800,111.775740,110.876430,75.553540,43.900000,211.416520,64.813040,58.464750,5.981510,41.945600,85.473140,60.525866,30.194853,0.806408,1.651106,40.203400,39.434543,146.603480,1.332322,0.923878,298.205710,5.981510,11.124931,22.512402,30.890671,16.625178,17.641054,港交所官方年报合并报表；金额由人民币千元换算为亿元
