Date,股价_港元,CNYHKD,EPS_TTM_人民币,PE_TTM_近似
2020-12-11,69.0,1.1841800212860107,0.39,149.4055580594408
2020-12-14,74.5,1.185979962348938,0.39,161.06987224918868
2020-12-15,72.80000305175781,1.1830309629440308,0.39,157.7868038442185
2020-12-16,71.9000015258789,1.1853079795837402,0.39,155.53677309776322
2020-12-17,72.8499984741211,1.1868900060653687,0.39,157.38178510879965
2020-12-18,77.0,1.1862620115280151,0.39,166.43531995227744
2020-12-21,87.75,1.1817489862442017,0.39,190.39576307578488
2020-12-22,89.0999984741211,1.183097004890442,0.39,193.10465127091132
2020-12-23,89.5999984741211,1.1854209899902344,0.39,193.80759052779416
2020-12-24,86.19999694824219,1.1850850582122803,0.39,186.50613444915228
2020-12-28,77.6500015258789,1.1870620250701904,0.39,167.72718173955676
2020-12-29,78.0999984741211,1.1860599517822266,0.39,168.84172342467681
2020-12-30,81.9000015258789,1.1871980428695679,0.39,176.88708735142498
2020-12-31,81.9000015258789,1.188398003578186,0.39,176.70847921337312
2021-01-04,78.0,1.1913429498672485,0.39,167.87777190630624
2021-01-05,81.0,1.1995680332183838,0.39,173.1392484135136
2021-01-06,80.0,1.2008479833602905,0.39,170.8194608897973
2021-01-07,76.75,1.199625015258789,0.39,164.04698909385297
2021-01-08,79.4000015258789,1.196740984916687,0.39,170.12014301192067
2021-01-11,75.0,1.1942169666290283,0.39,161.03245698353135
2021-01-12,75.0999984741211,1.196478009223938,0.39,160.94244705466326
2021-01-13,75.69999694824219,1.1996690034866333,0.39,161.79675870045662
2021-01-14,78.5,1.198801040649414,0.39,167.9027999283458
2021-01-15,76.0999984741211,1.1973210573196411,0.39,162.970658557125
2021-01-18,75.0,1.1950589418411255,0.39,160.91900204639296
2021-01-19,76.44999694824219,1.1939400434494019,0.39,164.18381666325976
2021-01-20,84.75,1.196452021598816,0.39,181.62675007837302
2021-01-21,83.1500015258789,1.1987659931182861,0.39,177.85383748085735
2021-01-22,80.0999984741211,1.1994069814682007,0.39,171.2384658797741
2021-01-25,81.5999984741211,1.1959470510482788,0.39,174.94985679747523
2021-01-26,81.0,1.1960749626159668,0.39,173.6448919874206
2021-01-27,77.19999694824219,1.198989987373352,0.39,165.09621615552234
2021-01-28,72.80000305175781,1.1952999830245972,0.39,156.16721922754803
2021-01-29,74.0,1.2019269466400146,0.39,157.8661584000739
2021-02-01,76.75,1.2048070430755615,0.39,163.34140219873322
2021-02-02,80.0,1.1990519762039185,0.39,171.07532383843858
2021-02-03,80.0,1.200430989265442,0.39,170.8787985002999
2021-02-04,78.8499984741211,1.1999139785766602,0.39,168.49498120423831
2021-02-05,80.0,1.1975829601287842,0.39,171.28517351828913
2021-02-08,79.9000015258789,1.1992239952087402,0.39,170.8369742457032
2021-02-09,78.69999694824219,1.2021969556808472,0.39,167.85507816859186
2021-02-10,87.19999694824219,1.204450011253357,0.39,185.63637650022096
2021-02-11,95.0999984741211,1.2002869844436646,0.39,203.15653930602855
2021-02-16,90.94999694824219,1.2001709938049316,0.39,194.30991215741037
2021-02-17,105.0,1.1999629735946655,0.39,224.36589724451986
2021-02-18,98.0,1.200477957725525,0.39,209.31833830430392
2021-02-19,99.4000015258789,1.194612979888916,0.39,213.3509371445175
2021-02-22,99.0,1.1984469890594482,0.39,211.8125842557079
2021-02-23,94.30000305175781,1.1991510391235352,0.39,201.6383856003834
2021-02-24,89.9000015258789,1.1989909410476685,0.39,192.25568478766846
2021-02-25,96.44999694824219,1.2008169889450073,0.39,205.9495216668674
2021-02-26,89.9000015258789,1.2011029720306396,0.39,191.9176205480659
2021-03-01,97.44999694824219,1.1991159915924072,0.39,208.37999726360835
2021-03-02,93.0,1.199347972869873,0.39,198.82598199664534
2021-03-03,94.3499984741211,1.1984909772872925,0.39,201.85639908457574
2021-03-04,83.5999984741211,1.1986989974975586,0.39,178.8263533163595
2021-03-05,74.69999694824219,1.1994279623031616,0.39,159.6915027273886
2021-03-08,68.4000015258789,1.1957370042800903,0.39,146.67491151427407
2021-03-09,61.0,1.1905080080032349,0.39,131.38110399827852
2021-03-10,62.95000076293945,1.1928620338439941,0.39,135.31343423377083
2021-03-11,67.5,1.1927299499511719,0.39,145.1098994235942
2021-03-12,65.1500015258789,1.1944379806518555,0.39,139.85764742060957
2021-03-15,65.69999694824219,1.1921939849853516,0.39,141.30379179742994
2021-03-16,69.0,1.1943570375442505,0.39,148.1324858158438
2021-03-17,71.05000305175781,1.1934850215911865,0.39,152.64497811763115
2021-03-18,70.05000305175781,1.1939690113067627,0.39,150.43555631634112
2021-03-19,68.5999984741211,1.1934380531311035,0.39,147.38714885405358
2021-03-22,61.900001525878906,1.1911779642105103,0.39,133.2445338977152
2021-03-23,54.20000076293945,1.1934599876403809,0.39,116.44660262585226
2021-03-24,51.04999923706055,1.1922190189361572,0.39,109.79311004280362
2021-03-25,54.150001525878906,1.1904150247573853,0.39,116.63676522140811
2021-03-26,53.599998474121094,1.1867369413375854,0.39,115.80990591603374
2021-03-29,56.400001525878906,1.1865220069885254,0.39,121.88175834592268
2021-03-30,60.5,1.1830379962921143,0.39,131.12698460608112
